_c0,INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,OPEN_INT,CHG_IN_OI,prev_close,prev_open_int,CHANGE_IN_LTP,CHANGE_IN_OI
0,FUTSTK,GAIL,25-Jul-2024,XX,230.41,133905675,553575,229.64,133352100,0.3353074377286232,0.4151228214628791
1,FUTSTK,CHOLAFIN,25-Jul-2024,XX,1410.15,8419375,149375,1421.05,8270000,-0.7670384574786154,1.8062273276904475
2,FUTSTK,JINDALSTEL,25-Jul-2024,XX,1018.55,13918125,321250,1011.0,13596875,0.74678536102868,2.3626752470696393
3,FUTSTK,DRREDDY,25-Jul-2024,XX,6555.0,2869625,10375,6556.7,2859250,-0.02592767703265085,0.36285739267290373
4,FUTSTK,LT,25-Jul-2024,XX,3637.3,16310850,342300,3660.0,15968550,-0.6202185792349677,2.1435884911278733
5,FUTSTK,AUROPHARMA,25-Jul-2024,XX,1323.7,12614800,-176550,1342.2,12791350,-1.378334078378781,-1.3802296082899772
6,FUTSTK,ITC,25-Jul-2024,XX,459.9,118169600,7328000,452.6,110841600,1.6129032258064415,6.611236214562041
7,FUTSTK,POLYCAB,25-Jul-2024,XX,6626.45,3934000,-288875,6377.6,4222875,3.9019380331158966,-6.840718704673948
8,FUTSTK,UNITDSPR,25-Jul-2024,XX,1285.45,12878600,86100,1281.15,12792500,0.33563595207430463,0.6730506155950752
9,FUTSTK,AARTIIND,25-Jul-2024,XX,704.35,11762000,-118000,702.95,11880000,0.19916067999146128,-0.9932659932659932
10,FUTSTK,ULTRACEMCO,25-Jul-2024,XX,11591.5,2134500,-30500,11641.4,2165000,-0.42864260312333263,-1.4087759815242495
11,FUTSTK,APOLLOHOSP,25-Jul-2024,XX,6400.15,1993375,-69625,6386.35,2063000,0.21608587064597573,-3.3749394086282116
12,FUTSTK,BHARTIARTL,25-Jul-2024,XX,1440.65,44318450,-223725,1449.55,44542175,-0.6139836500982969,-0.5022767747645911
13,FUTSTK,HDFCBANK,25-Jul-2024,XX,1629.05,158737150,1355200,1633.3,157381950,-0.26020939202840876,0.8610898517905008
14,FUTSTK,DIVISLAB,25-Jul-2024,XX,4587.4,2554400,-94200,4656.55,2648600,-1.4850049929669076,-3.5565959374764025
15,FUTSTK,MPHASIS,25-Jul-2024,XX,2566.75,4263325,-114125,2553.75,4377450,0.5090553108174254,-2.607111446161578
16,FUTSTK,MOTHERSON,25-Jul-2024,XX,199.22,107259700,603500,201.16,106656200,-0.964406442632729,0.5658367727333244
17,FUTSTK,IDFCFIRSTB,25-Jul-2024,XX,78.56,412530000,1657500,78.38,410872500,0.2296504210257806,0.4034098169140062
18,FUTSTK,SYNGENE,25-Jul-2024,XX,724.8,6329000,417000,728.45,5912000,-0.501063902807343,7.053450608930987
19,FUTSTK,MGL,25-Jul-2024,XX,1709.35,2337200,30000,1721.75,2307200,-0.7201974735008039,1.300277392510402
20,FUTSTK,KOTAKBANK,25-Jul-2024,XX,1847.0,36932400,-229200,1836.05,37161600,0.5963889872280191,-0.6167656936192198
21,FUTSTK,BPCL,25-Jul-2024,XX,307.65,67296600,1333800,301.85,65962800,1.92148418088453,2.0220487911368226
22,FUTSTK,LUPIN,25-Jul-2024,XX,1817.3,10430775,90525,1822.7,10340250,-0.2962637844955336,0.875462392108508
23,FUTSTK,IPCALAB,25-Jul-2024,XX,1228.15,2429700,17550,1222.1,2412150,0.49504950495051,0.7275666936135812
24,FUTSTK,ICICIPRULI,25-Jul-2024,XX,655.75,10971000,-204000,661.9,11175000,-0.9291433751321918,-1.8255033557046978
25,FUTSTK,HCLTECH,25-Jul-2024,XX,1503.85,17341800,-750750,1504.0,18092550,-0.009973404255325195,-4.149497997794673
26,FUTSTK,CHAMBLFERT,25-Jul-2024,XX,497.4,10507000,-125400,500.8,10632400,-0.6789137380191762,-1.1794138670478913
27,FUTSTK,INDUSTOWER,25-Jul-2024,XX,394.7,88515600,-2961400,383.6,91477000,2.8936392075078117,-3.237316483924921
28,FUTSTK,PVRINOX,25-Jul-2024,XX,1466.25,4894175,124135,1452.35,4770040,0.9570695768926286,2.6023890784982933
29,FUTSTK,CONCOR,25-Jul-2024,XX,1060.25,15806000,273000,1045.55,15533000,1.4059585863899426,1.757548445245606
30,FUTSTK,BAJAJ-AUTO,25-Jul-2024,XX,9484.3,2249625,-54750,9558.25,2304375,-0.7736771898621686,-2.375915378356387
31,FUTSTK,PETRONET,25-Jul-2024,XX,339.15,32313000,-87000,331.4,32400000,2.338563669281835,-0.2685185185185185
32,FUTSTK,SAIL,25-Jul-2024,XX,152.33,141596000,732000,151.13,140864000,0.7940183947594899,0.5196501590186279
33,FUTSTK,GODREJCP,25-Jul-2024,XX,1441.15,5819000,-16500,1443.3,5835500,-0.14896417931129105,-0.2827521206409048
34,FUTSTK,MFSL,25-Jul-2024,XX,1033.65,4324000,-230400,1039.3,4554400,-0.5436351390358765,-5.058844194624978
35,FUTSTK,BOSCHLTD,25-Jul-2024,XX,35451.65,274125,1250,35326.85,272875,0.35327236931683104,0.45808520384791573
36,FUTSTK,ABB,25-Jul-2024,XX,8485.0,1346375,25625,8576.55,1320750,-1.0674455346263858,1.9401855006625022
37,FUTSTK,PEL,25-Jul-2024,XX,935.25,14276250,-348750,910.15,14625000,2.7577871779377054,-2.3846153846153846
38,FUTSTK,SBILIFE,25-Jul-2024,XX,1561.85,8206125,-318750,1561.0,8524875,0.05445227418321006,-3.739057757445124
39,FUTSTK,PFC,25-Jul-2024,XX,571.25,47684000,-838500,562.9,48522500,1.4833895896251594,-1.7280643000669793
40,FUTSTK,COLPAL,25-Jul-2024,XX,3013.6,2768150,2100,3044.25,2766050,-1.0068161287673512,0.07592053650512463
41,FUTSTK,BALKRISIND,25-Jul-2024,XX,3154.55,2098500,300,3188.8,2098200,-1.0740717511289513,0.014297969688304261
42,FUTSTK,SRF,25-Jul-2024,XX,2391.25,4793250,19500,2404.25,4773750,-0.5407091608609754,0.40848389630793397
43,FUTSTK,LTIM,25-Jul-2024,XX,5431.25,3585600,108300,5399.75,3477300,0.5833603407565165,3.1144853765852814
44,FUTSTK,MCX,25-Jul-2024,XX,3774.1,2533400,-27600,3722.65,2561000,1.3820799699139006,-1.0777040218664584
45,FUTSTK,PAGEIND,25-Jul-2024,XX,39261.45,168960,1185,39460.65,167775,-0.5048066871681139,0.7063030844881537
46,FUTSTK,INDIGO,25-Jul-2024,XX,4330.05,7791600,-210000,4287.55,8001600,0.9912420846404124,-2.624475104979004
47,FUTSTK,CROMPTON,25-Jul-2024,XX,425.45,23985000,410400,425.0,23574600,0.10588235294117379,1.7408566847369626
48,FUTSTK,POWERGRID,25-Jul-2024,XX,344.2,63421200,1486800,346.65,61934400,-0.7067647483052037,2.400604510578935
49,FUTSTK,HAVELLS,25-Jul-2024,XX,1926.35,7703000,-151000,1934.2,7854000,-0.4058525488574158,-1.9225872167048637
50,FUTSTK,HINDPETRO,25-Jul-2024,XX,350.9,45665775,-330075,336.35,45995850,4.325851048015447,-0.7176190895482962
51,FUTSTK,M&M,25-Jul-2024,XX,2708.9,16719500,314650,2742.4,16404850,-1.2215577596266043,1.9180303385888928
52,FUTSTK,TATACOMM,25-Jul-2024,XX,1873.35,7045000,-48000,1862.25,7093000,0.5960531614981829,-0.6767235302410827
53,FUTSTK,ADANIENT,25-Jul-2024,XX,3091.75,16561800,49500,3109.05,16512300,-0.5564400701178875,0.2997765302229247
54,FUTSTK,BSOFT,25-Jul-2024,XX,694.25,13852000,-48000,690.75,13900000,0.5066956207021354,-0.34532374100719426
55,FUTSTK,HINDALCO,25-Jul-2024,XX,698.4,40398400,-68600,692.95,40467000,0.7864925319287006,-0.16952084414461166
56,FUTSTK,UBL,25-Jul-2024,XX,2059.35,2326400,41200,2073.8,2285200,-0.6967885041952103,1.8029056537720987
57,FUTSTK,SHREECEM,25-Jul-2024,XX,27778.9,263150,-2350,27919.6,265500,-0.503947047951966,-0.8851224105461395
58,FUTSTK,PERSISTENT,25-Jul-2024,XX,4638.35,2097200,-400,4578.85,2097600,1.2994529194011597,-0.01906941266209001
59,FUTSTK,INDIAMART,25-Jul-2024,XX,2772.7,1060500,-55800,2728.15,1116300,1.632974726462978,-4.99865627519484
60,FUTSTK,PNB,25-Jul-2024,XX,119.9,245480000,128000,119.67,245352000,0.19219520347622962,0.0521699435912485
61,FUTSTK,IDEA,25-Jul-2024,XX,16.66,3945560000,36520000,16.74,3909040000,-0.4778972520907903,0.934244725047582
62,FUTSTK,LICHSGFIN,25-Jul-2024,XX,791.65,27573000,-458000,781.55,28031000,1.2923037553579455,-1.6339053191109842
63,FUTSTK,ABFRL,25-Jul-2024,XX,324.8,38279800,-520000,326.75,38799800,-0.5967865340474334,-1.3402130938819272
64,FUTSTK,OBEROIRLTY,25-Jul-2024,XX,1715.8,8017800,-24500,1729.0,8042300,-0.7634470792365555,-0.30463922012359645
65,FUTSTK,NMDC,25-Jul-2024,XX,247.29,95116500,-1435500,246.01,96552000,0.5203040526807858,-1.4867636092468308
66,FUTSTK,CANBK,25-Jul-2024,XX,114.33,274927500,2679750,115.0,272247750,-0.5826086956521753,0.9843056554186398
67,FUTSTK,NATIONALUM,25-Jul-2024,XX,199.2,58563750,-1053750,199.88,59617500,-0.3402041224734875,-1.7675179267832433
68,FUTSTK,MANAPPURAM,25-Jul-2024,XX,213.6,47259000,3579000,213.35,43680000,0.11717834544176235,8.19368131868132
69,FUTSTK,OFSS,25-Jul-2024,XX,10202.35,1857700,32000,10292.3,1825700,-0.8739543153619591,1.7527523689543738
70,FUTSTK,COFORGE,25-Jul-2024,XX,5583.55,2132700,62850,5686.85,2069850,-1.8164713329875095,3.0364519168055657
71,FUTSTK,M&MFIN,25-Jul-2024,XX,297.1,38402000,1078000,295.4,37324000,0.5754908598510649,2.8882220555138787
72,FUTSTK,EXIDEIND,25-Jul-2024,XX,563.6,26620200,172800,567.5,26447400,-0.6872246696035202,0.6533723541822636
73,FUTSTK,TATAPOWER,25-Jul-2024,XX,442.35,88177950,-163350,438.2,88341300,0.9470561387494372,-0.18490785170695925
74,FUTSTK,VEDL,25-Jul-2024,XX,449.4,133075700,4091700,457.3,128984000,-1.7275311611633575,3.17225392296719
75,FUTSTK,GNFC,25-Jul-2024,XX,687.0,6481800,-83200,687.55,6565000,-0.07999418224128493,-1.2673267326732673
76,FUTSTK,FEDERALBNK,25-Jul-2024,XX,193.48,92725000,2700000,189.33,90025000,2.1919399989436315,2.9991668980838657
77,FUTSTK,TATAMOTORS,25-Jul-2024,XX,1022.95,55898700,-2846250,1007.25,58744950,1.5586994291387486,-4.845097323259276
78,FUTSTK,LTF,25-Jul-2024,XX,180.07,69120842,1325214,181.18,67795628,-0.6126504029142364,1.9547189680136898
79,FUTSTK,TATACHEM,25-Jul-2024,XX,1063.9,11283800,347600,1066.7,10936200,-0.26249179713133536,3.178434922550795
80,FUTSTK,IOC,25-Jul-2024,XX,175.18,157564875,12260625,172.11,145304250,1.7837429550868589,8.437898409716164
81,FUTSTK,UPL,25-Jul-2024,XX,559.9,35118200,-443300,560.6,35561500,-0.1248662147698975,-1.246572838603546
82,FUTSTK,AUBANK,25-Jul-2024,XX,634.8,25867000,-262000,631.15,26129000,0.5783094351580412,-1.002717287305293
83,FUTSTK,BERGEPAINT,25-Jul-2024,XX,524.2,20172240,0,527.95,20172240,-0.7102945354673738,0.0
84,FUTSTK,DLF,25-Jul-2024,XX,833.2,41647650,-301950,838.05,41949600,-0.5787244197840116,-0.7197923222152297
85,FUTSTK,PIIND,25-Jul-2024,XX,3867.7,1684000,-27000,3851.85,1711000,0.41149058244739306,-1.5780245470485097
86,FUTSTK,GUJGASLTD,25-Jul-2024,XX,640.4,8662500,-76250,647.25,8738750,-1.058323677095407,-0.8725504219711057
87,FUTSTK,TATACONSUM,25-Jul-2024,XX,1136.1,11028150,468000,1152.25,10560150,-1.4016055543501924,4.431755230749563
88,FUTSTK,IGL,25-Jul-2024,XX,531.6,12731125,70125,528.95,12661000,0.5009925323754565,0.553866203301477
89,FUTSTK,LTTS,25-Jul-2024,XX,4938.85,1078900,23500,5032.4,1055400,-1.8589539782211129,2.226643926473375
90,FUTSTK,ICICIGI,25-Jul-2024,XX,1877.95,4280000,-24500,1880.9,4304500,-0.1568398107289088,-0.5691717969566732
91,FUTSTK,WIPRO,25-Jul-2024,XX,536.15,58521000,493500,537.15,58027500,-0.18616773713115517,0.8504588341734522
92,FUTSTK,TCS,25-Jul-2024,XX,3933.8,19763275,1872850,3912.6,17890425,0.5418391862188896,10.46844890493099
93,FUTSTK,ASTRAL,25-Jul-2024,XX,2340.2,2883886,-64592,2351.25,2948478,-0.46996278575226713,-2.190689569330346
94,FUTSTK,PIDILITIND,25-Jul-2024,XX,3155.8,2214750,-2250,3158.85,2217000,-0.09655412571029734,-0.10148849797023003
95,FUTSTK,BANDHANBNK,25-Jul-2024,XX,197.68,90627600,-1159200,193.29,91786800,2.271198716953808,-1.262926695341814
96,FUTSTK,CANFINHOME,25-Jul-2024,XX,877.15,5871450,111150,883.1,5760300,-0.6737628807609608,1.929587000677048
97,FUTSTK,TRENT,25-Jul-2024,XX,5643.1,3163400,-20600,5584.05,3184000,1.0574762045468822,-0.6469849246231156
98,FUTSTK,SBIN,25-Jul-2024,XX,858.8,94484250,-1386750,851.5,95871000,0.8573106283029893,-1.4464749507150234
99,FUTSTK,SHRIRAMFIN,25-Jul-2024,XX,2736.0,7770600,342000,2760.2,7428600,-0.8767480617346504,4.603828446813666
100,FUTSTK,CUB,25-Jul-2024,XX,163.17,26110000,320000,165.12,25790000,-1.1809593023255915,1.240791004265219
101,FUTSTK,TITAN,25-Jul-2024,XX,3254.25,9186450,-163450,3229.8,9349900,0.757012818131148,-1.7481470390057647
102,FUTSTK,RAMCOCEM,25-Jul-2024,XX,798.05,9707850,357850,804.9,9350000,-0.8510373959498102,3.827272727272727
103,FUTSTK,HDFCLIFE,25-Jul-2024,XX,635.15,29873800,-1063700,633.95,30937500,0.1892893761337537,-3.4382222222222225
104,FUTSTK,DALBHARAT,25-Jul-2024,XX,1871.6,3182300,-40975,1867.95,3223275,0.19540137583981712,-1.2712225919290163
105,FUTSTK,ESCORTS,25-Jul-2024,XX,4004.35,1331000,55825,4069.65,1275175,-1.6045605887484227,4.377830493853785
106,FUTSTK,MUTHOOTFIN,25-Jul-2024,XX,1839.7,4329050,-9900,1833.1,4338950,0.3600458240139729,-0.2281658004816834
107,FUTSTK,CIPLA,25-Jul-2024,XX,1508.25,10326550,5850,1515.5,10320700,-0.4783899703068294,0.05668220178863837
108,FUTSTK,SUNPHARMA,25-Jul-2024,XX,1579.25,16857050,66850,1595.3,16790200,-1.0060803610606126,0.398148920203452
109,FUTSTK,BANKBARODA,25-Jul-2024,XX,257.75,157113450,-1184625,257.55,158298075,0.07765482430595559,-0.7483508564459802
110,FUTSTK,TVSMOTOR,25-Jul-2024,XX,2477.9,4973500,-110950,2444.1,5084450,1.3829221390286888,-2.1821435946857575
111,FUTSTK,BHARATFORG,25-Jul-2024,XX,1642.65,8051500,183000,1662.9,7868500,-1.217752119790727,2.3257291732858865
112,FUTSTK,INDIACEM,25-Jul-2024,XX,305.8,13688000,-1374600,296.2,15062600,3.241053342336267,-9.125914516750095
113,FUTSTK,HDFCAMC,25-Jul-2024,XX,4196.6,2543550,-300,4175.35,2543850,0.508939370352186,-0.011793148180906893
114,FUTSTK,SIEMENS,25-Jul-2024,XX,7806.7,1746300,-10800,7864.15,1757100,-0.730530317961888,-0.6146491377838484
115,FUTSTK,BRITANNIA,25-Jul-2024,XX,5769.0,2488000,-164400,5764.45,2652400,0.07893207504619143,-6.19816015683909
116,FUTSTK,SBICARD,25-Jul-2024,XX,735.75,19303200,606400,739.8,18696800,-0.5474452554744464,3.243335757990672
117,FUTSTK,INFY,25-Jul-2024,XX,1652.5,52682800,2042400,1649.2,50640400,0.20009701673538408,4.033143498076634
118,FUTSTK,ZYDUSLIFE,25-Jul-2024,XX,1169.5,16160400,745200,1187.05,15415200,-1.4784549934712063,4.834189631013545
119,FUTSTK,ATUL,25-Jul-2024,XX,6844.0,892500,7300,6822.5,885200,0.3151337486258703,0.824672390420244
120,FUTSTK,BEL,25-Jul-2024,XX,337.0,118765200,-3531150,335.15,122296350,0.5519916455318582,-2.887371536435879
121,FUTSTK,LAURUSLABS,25-Jul-2024,XX,473.3,18552100,173400,474.5,18378700,-0.25289778714436006,0.9434834890389419
122,FUTSTK,ASIANPAINT,25-Jul-2024,XX,3021.3,12255200,-159200,3001.55,12414400,0.657993370092119,-1.2823817502255446
123,FUTSTK,HAL,25-Jul-2024,XX,5571.05,12532800,-187800,5500.25,12720600,1.2872142175355699,-1.476345455403047
124,FUTSTK,NAUKRI,25-Jul-2024,XX,6637.8,1131300,31650,6790.75,1099650,-2.2523285351397098,2.8781885145273494
125,FUTSTK,ASHOKLEY,25-Jul-2024,XX,227.3,88920000,-2030000,226.39,90950000,0.4019612173682694,-2.2319956019791096
126,FUTSTK,BHEL,25-Jul-2024,XX,333.2,71208375,-4381125,329.0,75589500,1.2765957446808476,-5.795943881094597
127,FUTSTK,BALRAMCHIN,25-Jul-2024,XX,445.55,9198400,-1115200,437.15,10313600,1.921537229783835,-10.81290722928948
128,FUTSTK,IEX,25-Jul-2024,XX,177.94,69135000,-1005000,177.02,70140000,0.5197152864083083,-1.4328485885372113
129,FUTSTK,ABCAPITAL,25-Jul-2024,XX,227.37,67780800,507600,230.37,67273200,-1.3022528975126968,0.7545352384010275
130,FUTSTK,RELIANCE,25-Jul-2024,XX,3174.7,28873500,1291500,3174.9,27582000,-0.0062994110050796194,4.682401566238852
131,FUTSTK,IRCTC,25-Jul-2024,XX,1033.45,20125000,-322875,1023.65,20447875,0.9573584721340369,-1.5790149343146904
132,FUTSTK,NTPC,25-Jul-2024,XX,378.4,103018500,3567000,383.05,99451500,-1.2139407388069532,3.5866729008612235
133,FUTSTK,COROMANDEL,25-Jul-2024,XX,1591.35,4042500,15400,1599.65,4027100,-0.5188635013909406,0.3824091778202677
134,FUTSTK,GRANULES,25-Jul-2024,XX,516.55,10882000,2000,520.3,10880000,-0.7207380357486066,0.01838235294117647
135,FUTSTK,ADANIPORTS,25-Jul-2024,XX,1488.55,28411200,124800,1491.8,28286400,-0.21785762166510259,0.4412014254199898
136,FUTSTK,DEEPAKNTR,25-Jul-2024,XX,2765.05,2277000,-140700,2728.1,2417700,1.3544224918441508,-5.819580593125698
137,FUTSTK,APOLLOTYRE,25-Jul-2024,XX,527.95,14924300,-187000,529.8,15111300,-0.34918837297091526,-1.237484531443357
138,FUTSTK,GODREJPROP,25-Jul-2024,XX,3297.4,3259575,37125,3316.05,3222450,-0.5624161276217213,1.1520737327188941
139,FUTSTK,DABUR,25-Jul-2024,XX,627.6,17548750,-38750,631.8,17587500,-0.6647673314339874,-0.22032693674484716
140,FUTSTK,MARICO,25-Jul-2024,XX,645.75,13461600,-176400,647.5,13638000,-0.2702702702702703,-1.293444786625605
141,FUTSTK,DIXON,25-Jul-2024,XX,12672.55,1882800,42500,12468.5,1840300,1.6365240405822614,2.309406075096452
142,FUTSTK,LALPATHLAB,25-Jul-2024,XX,2949.3,1128000,-17700,2961.05,1145700,-0.39681869607065057,-1.544907043728725
143,FUTSTK,MARUTI,25-Jul-2024,XX,12737.45,2975900,-46400,12797.75,3022300,-0.471176574007144,-1.5352546074181914
144,FUTSTK,NESTLEIND,25-Jul-2024,XX,2586.65,6167800,74800,2616.0,6093000,-1.1219418960244614,1.2276382734285245
145,FUTSTK,COALINDIA,25-Jul-2024,XX,502.35,51258900,409500,492.15,50849400,2.0725388601036365,0.8053192368051539
146,FUTSTK,HEROMOTOCO,25-Jul-2024,XX,5551.1,3883200,-58500,5526.35,3941700,0.4478543704253259,-1.4841312124210366
147,FUTSTK,AXISBANK,25-Jul-2024,XX,1295.65,42468750,350625,1291.85,42118125,0.2941517978093573,0.8324800783510661
148,FUTSTK,VOLTAS,25-Jul-2024,XX,1514.85,8248200,-275400,1488.6,8523600,1.7634018540910925,-3.231029142615796
149,FUTSTK,INDHOTEL,25-Jul-2024,XX,603.7,20897000,286000,612.25,20611000,-1.3964883625969708,1.3876085585367037
150,FUTSTK,BATAINDIA,25-Jul-2024,XX,1535.8,3456375,-56250,1542.35,3512625,-0.4246766298181317,-1.6013664994128323
151,FUTSTK,SUNTV,25-Jul-2024,XX,812.85,6619500,1180500,782.9,5439000,3.825520500702522,21.704357418643134
152,FUTSTK,ALKEM,25-Jul-2024,XX,5221.75,1364100,30300,5250.15,1333800,-0.5409369256116423,2.2717049032838506
153,FUTSTK,IDFC,25-Jul-2024,XX,116.67,103775000,-580000,116.35,104355000,0.27503223033949925,-0.555795122418667
154,FUTSTK,GLENMARK,25-Jul-2024,XX,1385.2,6148000,-1370975,1382.45,7518975,0.19892220333465946,-18.23353582103944
155,FUTSTK,HINDUNILVR,25-Jul-2024,XX,2613.9,18025500,75300,2616.6,17950200,-0.10318734235266445,0.4194939332152288
156,FUTSTK,RBLBANK,25-Jul-2024,XX,245.1,55580000,-1860000,244.0,57440000,0.4508196721311452,-3.238161559888579
157,FUTSTK,HINDCOPPER,25-Jul-2024,XX,335.3,33978300,543250,335.4,33435050,-0.029815146094205696,1.6247919473725927
158,FUTSTK,AMBUJACEM,25-Jul-2024,XX,680.2,32770800,-111600,667.6,32882400,1.8873576992210939,-0.3393912853076418
159,FUTSTK,ONGC,25-Jul-2024,XX,305.3,86788625,2244550,299.0,84544075,2.107023411371241,2.654887406361711
160,FUTSTK,RECLTD,25-Jul-2024,XX,647.7,50204000,932000,632.65,49272000,2.3788824784636162,1.8915408345510636
161,FUTSTK,JUBLFOOD,25-Jul-2024,XX,575.45,19465000,-156250,578.25,19621250,-0.4842196281884919,-0.7963305090144615
162,FUTSTK,METROPOLIS,25-Jul-2024,XX,2065.2,1462000,-16400,2063.35,1478400,0.08966001890129688,-1.1093073593073595
163,FUTSTK,TECHM,25-Jul-2024,XX,1468.0,16870200,227400,1467.3,16642800,0.047706672118860864,1.3663566226836832
164,FUTSTK,ABBOTINDIA,25-Jul-2024,XX,27450.9,154120,-980,27781.9,155100,-1.1914231927981886,-0.6318504190844616
165,FUTSTK,TORNTPHARM,25-Jul-2024,XX,2959.35,1202500,-28250,2956.3,1230750,0.1031695024185545,-2.2953483648182003
166,FUTSTK,INDUSINDBK,25-Jul-2024,XX,1435.85,28841000,-49500,1429.4,28890500,0.4512382817965452,-0.1713365985358509
167,FUTSTK,JKCEMENT,25-Jul-2024,XX,4353.95,659875,-3625,4380.25,663500,-0.6004223503224744,-0.546345139412208
168,FUTSTK,BAJFINANCE,25-Jul-2024,XX,6977.05,9216125,168125,7077.25,9048000,-1.4158041612208108,1.8581454465075156
169,FUTSTK,TATASTEEL,25-Jul-2024,XX,169.55,229443500,-4218500,168.54,233662000,0.5992642696095997,-1.8053855569155446
170,FUTSTK,EICHERMOT,25-Jul-2024,XX,4836.7,3119200,-34300,4855.6,3153500,-0.38924128840927064,-1.0876803551609324
171,FUTSTK,ICICIBANK,25-Jul-2024,XX,1243.0,59653300,-763700,1245.1,60417000,-0.1686611517147144,-1.2640481983547678
172,FUTSTK,GRASIM,25-Jul-2024,XX,2811.85,9856000,565750,2808.6,9290250,0.11571601509648935,6.089717714808536
173,FUTSTK,JSWSTEEL,25-Jul-2024,XX,926.6,17747100,374625,927.2,17372475,-0.06471095772217673,2.1564284881687845
174,FUTSTK,BIOCON,25-Jul-2024,XX,356.15,48247500,250000,359.4,47997500,-0.9042849193099611,0.5208604614823689
175,FUTSTK,MRF,25-Jul-2024,XX,130579.1,64705,-290,131013.75,64995,-0.3317590710898621,-0.44618816832064
176,FUTSTK,BAJAJFINSV,25-Jul-2024,XX,1590.4,12594000,5500,1586.5,12588500,0.24582414119130735,0.043690670056003494
177,FUTSTK,NAVINFLUOR,25-Jul-2024,XX,3656.9,1469650,-39550,3683.3,1509200,-0.716748567860345,-2.6205936920222634
178,FUTSTK,ACC,25-Jul-2024,XX,2669.55,4763700,87600,2664.45,4676100,0.1914091088217217,1.8733560017963689
179,FUTIDX,NIFTY,25-Jul-2024,,24382.65,13634150,-433850,24355.05,14068000,0.11332352017344322,-3.083949388683537
180,FUTSTK,GMRINFRA,25-Jul-2024,XX,99.13,216978750,-1237500,98.03,218216250,1.1221054779149182,-0.5670980048461103
181,FUTSTK,CUMMINSIND,25-Jul-2024,XX,3983.6,4149000,28800,4028.6,4120200,-1.117013354515216,0.6989951944080385
